SMILES,DB.Number,M.Wt.,Formula,Name,InChI Code,Model_Enthalpy,Model+Measured_Enthalpy,Model_Entropy,Model+Measured_entropy,C,H,As,B,Br,Cl,F,Ge,I,N,O,P,S,Se,Si,PM6 Entropy 298K,PM7 Enthalpy 298K,"PM7 H-Ho (300 K), kCal/mol","PM7 H-Ho (400 K), kCal/mol","PM7 H-Ho (500 K), kCal/mol","PM7 H-Ho (600 K), kCal/mol","PM7 H-Ho (700 K), kCal/mol","PM7 H-Ho (800 K), kCal/mol","PM7 H-Ho (900 K), kCal/mol","PM7 H-Ho (1000 K), kCal/mol","PM7 H-Ho (1100 K), kCal/mol","PM7 H-Ho (1200 K), kCal/mol","PM7 H-Ho (1300 K), kCal/mol","PM7 H-Ho (1400 K), kCal/mol","PM7 H-Ho (1500 K), kCal/mol","PM7 S-So (300 K), Cal/mol/K","PM7 S-So (400 K), Cal/mol/K","PM7 S-So (500 K), Cal/mol/K","PM7 S-So (600 K), Cal/mol/K","PM7 S-So (700 K), Cal/mol/K","PM7 S-So (800 K), Cal/mol/K","PM7 S-So (900 K), Cal/mol/K","PM7 S-So (1000 K), Cal/mol/K","PM7 S-So (1100 K), Cal/mol/K","PM7 S-So (1200 K), Cal/mol/K","PM7 S-So (1300 K), Cal/mol/K","PM7 S-So (1400 K), Cal/mol/K","PM7 S-So (1500 K), Cal/mol/K",DG (298K),DG   (300K),DG (400K),DG (500K),DG (600K),DG (700K),DG (800K),DG (900K),DG (1000K),DG (1100K),DG (1200K),DG (1300K),DG (1400K),DG (1500K)
ClC1NOC1Cl,6569,127.952,C2H3Cl2NO,"3,4-dichloro-1,2-oxazetidine","InChI=1S/C2H3Cl2NO/c3-1-2(4)6-5-1/h1-2,5H",-9.674,-9.674,332.1,332.1,2,3,0,0,0,2,0,0,0,1,1,0,0,0,0,78.7853,-3.046,0.042,2.414,5.234,8.417,11.888,15.587,19.469,23.5,27.654,31.911,36.252,40.665,45.139,0.142,6.932,13.207,19.002,24.347,29.283,33.853,38.099,42.058,45.761,49.235,52.505,55.592,78.789386,79.381292,109.554316,140.33374,171.390944,202.554018,233.715408,264.817584,295.82318,326.715386,357.485304,388.12792,418.64314,449.02668
ClC1(Cl)CNO1,6570,127.952,C2H3Cl2NO,"4,4-dichloro-1,2-oxazetidine","InChI=1S/C2H3Cl2NO/c3-2(4)1-5-6-2/h5H,1H2",-6.271,-6.271,329.8,329.8,2,3,0,0,0,2,0,0,0,1,1,0,0,0,0,78.1242,-2.192,0.043,2.449,5.288,8.481,11.956,15.654,19.535,23.564,27.714,31.967,36.305,40.714,45.184,0.145,7.032,13.352,19.165,24.516,29.452,34.021,38.264,42.219,45.919,49.391,52.658,55.742,82.877786,83.47471,113.856416,144.80941,176.03266,207.356764,238.673332,269.934448,301.104,332.158908,363.089856,393.894756,424.575604,455.12728
NOC(Cl)=CCl,6571,127.952,C2H3Cl2NO,"O-(1,2-dichlorovinyl)hydroxylamine","InChI=1S/C2H3Cl2NO/c3-1-2(4)6-5/h1H,5H2",-28.05,-28.05,357.5,357.5,2,3,0,0,0,2,0,0,0,1,1,0,0,0,0,86.0851,-7.624,0.049,2.673,5.651,8.925,12.444,16.166,20.055,24.085,28.232,32.478,36.808,41.209,45.671,0.162,7.684,14.316,20.279,25.699,30.666,35.245,39.489,43.441,47.135,50.601,53.862,56.94,52.844186,53.389472,80.843592,108.68299,136.695668,164.766146,192.814876,220.79436,248.68228,276.456392,304.10738,331.633156,359.039896,386.32248
NOC=C(Cl)Cl,6572,127.952,C2H3Cl2NO,"O-(2,2-dichlorovinyl)hydroxylamine","InChI=1S/C2H3Cl2NO/c3-2(4)1-6-5/h1H,5H2",-27.14,-27.14,348,348,2,3,0,0,0,2,0,0,0,1,1,0,0,0,0,83.3656,-7.42,0.048,2.658,5.616,8.868,12.367,16.071,19.946,23.964,28.101,32.339,36.661,41.056,45.513,0.161,7.643,14.229,20.152,25.541,30.485,35.047,39.278,43.221,46.908,50.367,53.624,56.698,56.585186,57.146546,85.559444,114.37852,143.385924,172.466594,201.53304,230.543616,259.46848,288.280372,316.974992,345.550252,374.003132,402.33938
CN(C(Cl)Cl)C,6575,127.996,C3H7Cl2N,"1,1-dichloro-N,N-dimethylmethanamine","InChI=1S/C3H7Cl2N/c1-6(2)3(4)5/h3H,1-2H3",-76.48,-76.48,364.1,364.1,3,7,0,0,0,2,0,0,0,1,0,0,0,0,0,88.3354,-19.502,0.055,3.147,6.834,11.04,15.682,20.69,26.006,31.582,37.376,43.356,49.492,55.763,62.148,0.186,9.038,17.242,24.896,32.044,38.727,44.986,50.858,56.379,61.581,66.492,71.138,75.543,51.476283,52.332806,96.130324,141.09034,186.700832,232.640416,278.704912,324.772148,370.76382,416.620488,462.309984,507.815482,553.137164,598.25603
CNC(Cl)(C)Cl,6576,127.996,C3H7Cl2N,"1,1-dichloro-N-methylethan-1-amine","InChI=1S/C3H7Cl2N/c1-3(4,5)6-2/h6H,1-2H3",-142.2,-142.2,357.7,357.7,3,7,0,0,0,2,0,0,0,1,0,0,0,0,0,86.5517,-36.779,0.058,3.249,7.009,11.265,15.941,20.971,26.301,31.885,37.684,43.666,49.803,56.073,62.457,0.193,9.332,17.7,25.447,32.647,39.359,45.634,51.515,57.04,62.244,67.156,71.802,76.206,-12.336517,-11.463432,32.905116,78.34462,124.379424,170.718658,217.166084,263.607472,309.9641,356.18865,402.240176,448.107286,493.787236,539.27064
NC(Cl)(CC)Cl,6577,127.996,C3H7Cl2N,"1,1-dichloropropan-1-amine","InChI=1S/C3H7Cl2N/c1-2-3(4,5)6/h2,6H2,1H3",-139.8,-139.8,362.4,362.4,3,7,0,0,0,2,0,0,0,1,0,0,0,0,0,87.867,-36.18,0.059,3.318,7.138,11.44,16.149,21.204,26.55,32.146,37.952,43.938,50.078,56.35,62.734,0.197,9.534,18.035,25.866,33.118,39.863,46.157,52.05,57.583,62.791,67.704,72.352,76.756,-11.337117,-10.474268,33.375792,78.23369,123.640072,169.319952,215.094648,260.850766,306.51878,352.042176,397.393384,442.568954,487.546496,532.33
NC(C(Cl)Cl)C,6578,127.996,C3H7Cl2N,"1,1-dichloropropan-2-amine","InChI=1S/C3H7Cl2N/c1-2(6)3(4)5/h2-3H,6H2,1H3",-124.5,-124.5,376,376,3,7,0,0,0,2,0,0,0,1,0,0,0,0,0,91.6531,-32.157,0.056,3.172,6.883,11.103,15.752,20.761,26.071,31.638,37.421,43.389,49.513,55.771,62.144,0.187,9.108,17.364,25.047,32.206,38.888,45.14,51.003,56.514,61.705,66.606,71.243,75.64,-0.089917,0.745732,43.337784,87.07018,131.425464,176.109004,220.923308,265.7345,310.4718,355.077858,399.52594,443.793786,487.876144,531.76112
CNC(CCl)Cl,6579,127.996,C3H7Cl2N,"1,2-dichloro-N-methylethan-1-amine","InChI=1S/C3H7Cl2N/c1-6-3(5)2-4/h3,6H,2H2,1H3",-126.3,-126.3,366.9,366.9,3,7,0,0,0,2,0,0,0,1,0,0,0,0,0,89.1415,-32.636,0.055,3.102,6.747,10.915,15.524,20.502,25.791,31.342,37.115,43.074,49.193,55.448,61.819,0.182,8.905,17.017,24.603,31.699,38.341,44.567,50.414,55.914,61.099,65.996,70.63,75.025,0.821883,1.677822,45.2246,89.97693,135.413176,181.209446,227.149856,273.109726,318.99654,364.767578,410.368936,455.800926,501.05328,546.10867
NC(C(C)Cl)Cl,6580,127.996,C3H7Cl2N,"1,2-dichloropropan-1-amine","InChI=1S/C3H7Cl2N/c1-2(4)3(5)6/h2-3H,6H2,1H3",-161.6,-161.6,358.7,358.7,3,7,0,0,0,2,0,0,0,1,0,0,0,0,0,86.8367,-41.877,0.057,3.215,6.957,11.2,15.863,20.882,26.2,31.772,37.56,43.531,49.657,55.918,62.293,0.19,9.235,17.562,25.284,32.466,39.162,45.423,51.291,56.806,62,66.904,71.543,75.94,-32.034517,-31.16385,13.12518,58.51568,104.516528,150.822224,197.252832,243.679074,290.02808,336.246262,382.29978,428.166374,473.855004,519.35294
