SMILES,DB.Number,M.Wt.,Formula,Name,InChI Code,Model_Enthalpy,Model+Measured_Enthalpy,Model_Entropy,Model+Measured_entropy,C,H,As,B,Br,Cl,F,Ge,I,N,O,P,S,Se,Si,PM6 Entropy 298K,PM7 Enthalpy 298K,"PM7 H-Ho (300 K), kCal/mol","PM7 H-Ho (400 K), kCal/mol","PM7 H-Ho (500 K), kCal/mol","PM7 H-Ho (600 K), kCal/mol","PM7 H-Ho (700 K), kCal/mol","PM7 H-Ho (800 K), kCal/mol","PM7 H-Ho (900 K), kCal/mol","PM7 H-Ho (1000 K), kCal/mol","PM7 H-Ho (1100 K), kCal/mol","PM7 H-Ho (1200 K), kCal/mol","PM7 H-Ho (1300 K), kCal/mol","PM7 H-Ho (1400 K), kCal/mol","PM7 H-Ho (1500 K), kCal/mol","PM7 S-So (300 K), Cal/mol/K","PM7 S-So (400 K), Cal/mol/K","PM7 S-So (500 K), Cal/mol/K","PM7 S-So (600 K), Cal/mol/K","PM7 S-So (700 K), Cal/mol/K","PM7 S-So (800 K), Cal/mol/K","PM7 S-So (900 K), Cal/mol/K","PM7 S-So (1000 K), Cal/mol/K","PM7 S-So (1100 K), Cal/mol/K","PM7 S-So (1200 K), Cal/mol/K","PM7 S-So (1300 K), Cal/mol/K","PM7 S-So (1400 K), Cal/mol/K","PM7 S-So (1500 K), Cal/mol/K",DG (298K),DG   (300K),DG (400K),DG (500K),DG (600K),DG (700K),DG (800K),DG (900K),DG (1000K),DG (1100K),DG (1200K),DG (1300K),DG (1400K),DG (1500K)
CPCCC,2883,90.1058,C4H11P,methyl(propyl)phosphane,"InChI=1S/C4H11P/c1-3-4-5-2/h5H,3-4H2,1-2H3",-99.15,-99.15,377.4,377.4,4,11,0,0,0,0,0,0,0,0,0,1,0,0,0,91.3925,-26.86,0.057,3.327,7.373,12.106,17.426,23.246,29.489,36.094,43.005,50.178,57.573,65.159,72.908,0.191,9.543,18.542,27.154,35.344,43.107,50.457,57.412,63.997,70.237,76.155,81.776,87.122,21.652346,22.464046,64.629264,108.88761,154.403248,200.671436,247.363872,294.253336,341.21376,388.132794,436.028348,487.92357,539.884368,591.4635
CC(P)CC,2884,90.1058,C4H11P,sec-butylphosphane,"InChI=1S/C4H11P/c1-3-4(2)5/h4H,3,5H2,1-2H3",-83.31,-83.31,356.7,356.7,4,11,0,0,0,0,0,0,0,0,0,1,0,0,0,85.9196,-24.018,0.057,3.316,7.347,12.066,17.375,23.188,29.429,36.033,42.946,50.121,57.519,65.109,72.862,0.191,9.513,18.477,27.062,35.236,42.991,50.337,57.293,63.879,70.121,76.042,81.665,87.014,43.660946,44.514046,88.753444,135.10478,182.726784,231.104264,279.909336,328.923976,377.9962,427.038738,477.051944,531.061892,585.14494,638.83838
CC(C)(P)C,2885,90.1058,C4H11P,tert-butylphosphane,"InChI=1S/C4H11P/c1-4(2,3)5/h5H2,1-3H3",-78.18,-78.18,354.9,354.9,4,11,0,0,0,0,0,0,0,0,0,1,0,0,0,85.4446,-23.051,0.06,3.46,7.616,12.439,17.833,23.715,30.012,36.663,43.615,50.823,58.249,65.863,73.637,0.2,9.926,19.17,27.947,36.252,44.099,51.512,58.516,65.14,71.41,77.353,82.995,88.358,49.327346,50.1853,94.514828,140.81083,188.276344,236.435888,284.977044,333.690566,382.44746,431.14708,480.81068,534.459318,588.1635,641.481
SC(F)(C#C),2886,90.1154,C3H3FS,1-fluoroprop-2-yne-1-thiol,"InChI=1S/C3H3FS/c1-2-3(4)5/h1,3,5H",42.44,42.44,312.6,312.6,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,75.168,13.346,0.041,2.287,4.862,7.699,10.749,13.976,17.35,20.849,24.454,28.148,31.92,35.757,39.65,0.137,6.572,12.306,17.473,22.17,26.476,30.449,34.134,37.569,40.784,43.802,46.645,49.331,52.598969,52.667132,56.487276,61.43337,66.979936,72.9239,79.139836,86.628412,99.1437,111.647708,124.118096,136.570082,148.98712,161.36688
FCC1=CS1,2887,90.1154,C3H3FS,2-(fluoromethyl)thiirene,"InChI=1S/C3H3FS/c4-1-3-2-5-3/h2H,1H2",65.21,65.21,310.4,310.4,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,74.558,19.45,0.038,2.127,4.562,7.285,10.247,13.405,16.727,20.185,23.758,27.428,31.179,34.999,38.878,0.127,6.111,11.531,16.489,21.049,25.264,29.175,32.817,36.222,39.414,42.416,45.247,47.923,76.024569,76.097132,80.239268,85.66912,91.807288,98.415586,105.335984,113.56706,126.84324,140.121934,153.390416,166.634226,179.849776,193.03808
FC(S1)=C1C,2888,90.1154,C3H3FS,2-fluoro-3-methylthiirene,InChI=1S/C3H3FS/c1-2-3(4)5-2/h1H3,66.62,66.62,313.4,313.4,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,75.3871,19.863,0.04,2.221,4.716,7.475,10.457,13.626,16.953,20.413,23.985,27.652,31.401,35.218,39.094,0.134,6.385,11.939,16.964,21.556,25.785,29.702,33.346,36.75,39.94,42.94,45.769,48.443,76.540569,76.606714,80.38406,85.37012,91.020188,97.119904,103.52754,111.239166,123.99506,136.75305,149.49832,162.22477,174.920452,187.59056
SC(C#CF),2889,90.1154,C3H3FS,3-fluoroprop-2-yne-1-thiol,"InChI=1S/C3H3FS/c4-2-1-3-5/h5H,3H2",71.54,71.54,316,316,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,76.1093,21.212,0.042,2.298,4.867,7.689,10.72,13.926,17.28,20.761,24.349,28.028,31.786,35.61,39.492,0.139,6.606,12.327,17.466,22.134,26.412,30.362,34.028,37.447,40.648,43.655,46.489,49.167,80.685769,80.748804,84.216408,88.81038,94.015692,99.628016,105.524852,112.703106,124.91894,137.129764,149.318672,161.48876,173.625572,185.73472
CCOOCC,2890,90.122,C4H10O2,(ethylperoxy)ethane,"InChI=1S/C4H10O2/c1-3-5-6-4-2/h3-4H2,1-2H3",-201.6,-205.79375,384.7,384.7,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,91.4136,-41.103,0.059,3.38,7.462,12.23,17.587,23.444,29.723,36.361,43.303,50.503,57.922,65.53,73.299,0.196,9.7,18.777,27.453,35.7,43.514,50.905,57.896,64.51,70.773,76.711,82.348,87.708,-57.745264,-56.748614,-5.81855,46.86248,100.565326,154.84731,209.410354,264.06778,318.69295,373.20421,427.546222,481.685236,535.615554,589.31091
COCOCC,2891,90.122,C4H10O2,(methoxymethoxy)ethane,"InChI=1S/C4H10O2/c1-3-6-4-5-2/h3-4H2,1-2H3",-384.1,-384.1,384,384,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,91.2209,-94.774,0.057,3.323,7.361,12.096,17.428,23.267,29.533,36.161,43.096,50.291,57.707,65.312,73.08,0.192,9.533,18.512,27.127,35.336,43.126,50.502,57.482,64.089,70.348,76.283,81.919,87.277,-235.842914,-234.848208,-183.803836,-130.9621,-77.063436,-22.568496,32.221716,87.113416,141.98122,196.738458,251.325612,305.716038,359.888572,413.84161
COC(OC)C,2892,90.122,C4H10O2,"1,1-dimethoxyethane","InChI=1S/C4H10O2/c1-4(5-2)6-3/h4H,1-3H3",-393.8,-389.7480133,365.9,365.9,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,86.3443,-96.886,0.059,3.401,7.503,12.29,17.663,23.533,29.825,36.475,43.427,50.636,58.065,65.681,73.457,0.197,9.76,18.883,27.592,35.864,43.696,51.103,58.106,64.729,71.001,76.946,82.589,87.954,-236.0971273,-235.0641313,-182.2653533,-127.7419433,-72.20674933,-16.10913733,40.25950267,96.71500067,153.1374067,209.4413047,265.5642507,321.4917227,377.2021387,432.6746667
COCCOC,2893,90.122,C4H10O2,"1,2-dimethoxyethane","InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3",-341.2,-354.825,382.9,387.496,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,90.9085,-84.775,0.058,3.341,7.382,12.116,17.447,23.283,29.547,36.174,43.108,50.302,57.719,65.324,73.092,0.194,9.586,18.574,27.187,35.393,43.179,50.553,57.532,64.138,70.397,76.332,81.967,87.326,-207.609722,-206.620336,-155.940612,-103.4769,-49.952916,4.171942,58.589564,113.108674,167.60556,221.992716,276.205608,330.230132,384.038436,437.61554
OC(OCC)C,2894,90.122,C4H10O2,1-ethoxyethan-1-ol,"InChI=1S/C4H10O2/c1-3-6-4(2)5/h4-5H,3H2,1-2H3",-460.8,-460.8,374.4,374.4,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,88.6195,-110.502,0.06,3.43,7.565,12.38,17.776,23.664,29.968,36.625,43.582,50.794,58.224,65.841,73.616,0.199,9.841,19.037,27.799,36.106,43.961,51.382,58.393,65.022,71.296,77.242,82.885,88.25,-309.682114,-308.664446,-256.731552,-203.10663,-148.501692,-93.346876,-37.931064,17.561156,73.01276,128.340004,183.492984,238.445892,293.18676,347.68138
CCCCOO,2895,90.122,C4H10O2,1-hydroperoxybutane,"InChI=1S/C4H10O2/c1-2-3-4-6-5/h5H,2-4H2,1H3",-216.5,-216.5,392.7,392.7,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,93.5487,-45.565,0.059,3.396,7.484,12.254,17.609,23.459,29.731,36.359,43.291,50.48,57.89,65.488,73.248,0.198,9.743,18.837,27.516,35.759,43.564,50.946,57.927,64.532,70.786,76.716,82.346,87.699,-70.835514,-69.857372,-19.729816,32.12279,85.001392,138.460386,192.199604,246.040728,299.84876,353.546644,407.078624,460.418056,513.545448,566.44791
OC(OC)CC,2896,90.122,C4H10O2,1-methoxypropan-1-ol,"InChI=1S/C4H10O2/c1-3-4(5)6-2/h4-5H,3H2,1-2H3",-444,-444,371.6,371.6,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,87.8727,-107.153,0.059,3.412,7.529,12.329,17.712,23.589,29.885,36.535,43.487,50.695,58.122,65.735,73.509,0.198,9.79,18.946,27.679,35.966,43.807,51.218,58.222,64.846,71.117,77.06,82.701,88.064,-292.047714,-291.027372,-238.80152,-184.86692,-129.933912,-74.444756,-18.689588,37.151184,92.95134,148.632152,204.137028,259.44852,314.540448,369.40034
OC(COC)C,2897,90.122,C4H10O2,1-methoxypropan-2-ol,"InChI=1S/C4H10O2/c1-4(5)3-6-2/h4-5H,3H2,1-2H3",-397.6,-397.6,396.7,396.7,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,94.6343,-97.689,0.06,3.441,7.574,12.385,17.776,23.659,29.96,36.615,43.57,50.782,58.211,65.827,73.603,0.2,9.874,19.068,27.822,36.121,43.971,51.387,58.396,65.023,71.296,77.242,82.885,88.249,-253.127514,-252.1557,-202.460748,-151.0838,-98.718476,-45.800766,7.374596,60.638906,113.85842,166.955246,219.882824,272.601552,325.10824,377.38331
OCCOCC,2898,90.122,C4H10O2,2-ethoxyethan-1-ol,"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3",-389,-400,390.2,400.376,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,92.8855,-95.835,0.058,3.37,7.444,12.206,17.559,23.411,29.687,36.321,43.26,50.457,57.874,65.48,73.246,0.195,9.668,18.729,27.394,35.634,43.442,50.829,57.816,64.427,70.688,76.624,82.259,87.617,-256.622962,-255.66059,-206.283496,-155.15669,-102.998872,-50.256064,2.766132,55.888562,108.9779,161.956254,214.762852,267.372304,319.774732,371.93969
CC(C)(OO)C,2899,90.122,C4H10O2,2-hydroperoxy-2-methylpropane,"InChI=1S/C4H10O2/c1-4(2,3)6-5/h5H,1-3H3",-237.6,-238.2448,379.1,366.506,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,89.8836,-51.852,0.063,3.611,7.892,12.822,18.307,24.263,30.62,37.318,44.309,51.548,58.999,66.633,74.424,0.212,10.367,19.89,28.862,37.306,45.253,52.736,59.791,66.452,72.749,78.713,84.369,89.744,-84.774502,-83.744808,-31.141644,22.97966,77.971464,133.442504,189.122708,244.852568,300.51506,356.042324,411.384456,466.509378,521.419752,576.08764
OCC(OC)C,2900,90.122,C4H10O2,2-methoxypropan-1-ol,"InChI=1S/C4H10O2/c1-4(3-5)6-2/h4-5H,3H2,1-2H3",-394.6,-394.6,378.2,378.2,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,89.6436,-97.04,0.06,3.458,7.603,12.422,17.818,23.706,30.01,36.668,43.625,50.838,58.269,65.887,73.664,0.202,9.925,19.144,27.912,36.221,44.076,51.497,58.508,65.137,71.412,77.359,83.003,88.368,-244.614514,-243.608208,-192.07496,-138.87142,-84.689536,-29.967806,25.019936,80.084086,135.1118,190.010974,244.735048,299.258214,353.568504,407.64216
CC(O)(OC)C,2901,90.122,C4H10O2,2-methoxypropan-2-ol,"InChI=1S/C4H10O2/c1-4(2,5)6-3/h5H,1-3H3",-454.4,-454.4,383.4,383.4,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,91.0521,-109.209,0.062,3.578,7.836,12.752,18.229,24.181,30.538,37.239,44.233,51.477,58.933,66.572,74.368,0.209,10.269,19.742,28.688,37.12,45.062,52.545,59.603,66.267,72.568,78.535,84.195,89.574,-305.964114,-304.968626,-254.028528,-201.5473,-148.176344,-94.3203,-40.251748,13.86855,67.92148,121.836674,175.567572,229.08335,282.37622,335.42326
OCC(O)(C)(C),2902,90.122,C4H10O2,"2-methylpropane-1,2-diol","InChI=1S/C4H10O2/c1-4(2,6)3-5/h5-6H,3H2,1-2H3",-468.5,-468.5,378.5,293.046,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,89.7221,-112.035,0.063,3.582,7.847,12.767,18.246,24.199,30.554,37.252,44.242,51.481,58.934,66.568,74.36,0.209,10.281,19.767,28.722,37.157,45.099,52.58,59.635,66.295,72.592,78.556,84.213,89.588,-293.138622,-291.958246,-231.990272,-170.47657,-108.086516,-45.209702,17.882964,81.02236,144.09606,207.03495,269.788708,332.333616,394.649764,456.73304
OCC(C)C(O),2903,90.122,C4H10O2,"2-methylpropane-1,3-diol","InChI=1S/C4H10O2/c1-4(2-5)3-6/h4-6H,2-3H2,1H3",-439.3,-439.3,383.7,383.7,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,91.14,-106.212,0.06,3.447,7.589,12.406,17.8,23.684,29.984,36.636,43.588,50.795,58.219,65.831,73.602,0.2,9.891,19.104,27.869,36.174,44.024,51.439,58.445,65.068,71.338,77.28,82.919,88.28,-290.953514,-289.9557,-238.964092,-186.29634,-132.648572,-78.455524,-23.998136,30.543602,85.04138,139.423576,193.626492,247.6285,301.425992,354.98476
OCCCOC,2904,90.122,C4H10O2,3-methoxypropan-1-ol,"InChI=1S/C4H10O2/c1-6-4-2-3-5/h5H,2-4H2,1H3",-382.9,-382.9,401.8,401.8,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,96.0015,-94.519,0.058,3.365,7.434,12.191,17.538,23.387,29.659,36.291,43.228,50.423,57.839,65.444,73.21,0.195,9.658,18.705,27.36,35.593,43.395,50.779,57.763,64.372,70.632,76.567,82.201,87.559,-239.947314,-238.98779,-189.757276,-138.76033,-86.7307,-34.120678,18.78378,71.778022,124.75004,177.608984,230.292828,282.784542,335.070068,387.11687
OCC(O)(CC),2905,90.122,C4H10O2,"butane-1,2-diol","InChI=1S/C4H10O2/c1-2-4(6)3-5/h4-6H,2-3H2,1H3",-451.6,-445,385.1,374.486,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,91.508,-108.65,0.06,3.446,7.592,12.415,17.814,23.703,30.006,36.66,43.615,50.823,58.25,65.862,73.634,0.2,9.89,19.111,27.886,36.199,44.055,51.475,58.483,65.109,71.38,77.323,82.964,88.325,-293.907742,-292.8915,-240.981,-187.39143,-132.825188,-77.720354,-22.35118,33.09273,88.49686,143.783318,198.88966,253.802618,308.491832,362.95737
OCCC(O)(C),2906,90.122,C4H10O2,"butane-1,3-diol","InChI=1S/C4H10O2/c1-4(6)2-3-5/h4-6H,2-3H2,1H3",-458.9,-445.00728,391.1,345.676,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,93.1311,-110.114,0.06,3.47,7.632,12.467,17.876,23.772,30.081,36.741,43.699,50.911,58.339,65.954,73.728,0.202,9.957,19.215,28.013,36.341,44.207,51.633,58.647,65.277,71.551,77.496,83.138,88.501,-285.329642,-284.258288,-229.475984,-173.04387,-115.647624,-57.716966,0.469672,58.733554,116.95264,175.045694,232.964484,290.680276,348.184864,405.45449
OCCCCO,2907,90.122,C4H10O2,"butane-1,4-diol","InChI=1S/C4H10O2/c5-3-1-2-4-6/h5-6H,1-4H2",-435,-426.925,390.1,379.316,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,92.8406,-105.356,0.059,3.387,7.475,12.248,17.606,23.46,29.735,36.367,43.302,50.494,57.907,65.508,73.269,0.197,9.719,18.811,27.494,35.743,43.553,50.94,57.924,64.532,70.789,76.721,82.353,87.707,-277.272082,-276.265918,-224.798708,-171.59349,-117.363112,-62.561538,-7.477232,47.70062,102.85374,157.890024,212.757896,267.436146,321.900684,376.13653
OC(C)C(O)(C),2908,90.122,C4H10O2,"butane-2,3-diol","InChI=1S/C4H10O2/c1-3(5)4(2)6/h3-6H,1-2H3",-475,-480.5298933,368,420.506,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,86.9167,-113.318,0.061,3.519,7.729,12.604,18.046,23.969,30.301,36.979,43.953,51.178,58.618,66.242,74.025,0.205,10.1,19.464,28.335,36.715,44.617,52.07,59.103,65.748,72.033,77.988,83.637,89.006,-343.1515953,-342.2294833,-294.9648733,-246.0964333,-196.3031533,-146.0043033,-95.46452133,-44.86045333,5.688786667,56.10614267,106.3442187,156.3713547,206.1839427,255.7619867
OCOC(C)C,2909,90.122,C4H10O2,isopropoxymethanol,"InChI=1S/C4H10O2/c1-4(2)6-3-5/h4-5H,3H2,1-2H3",-451.6,-451.6,377.8,377.8,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,89.5412,-108.646,0.059,3.423,7.553,12.366,17.76,23.646,29.949,36.605,43.562,50.773,58.203,65.819,73.594,0.198,9.821,19.008,27.764,36.069,43.922,51.341,58.351,64.979,71.253,77.198,82.842,88.206,-301.495314,-300.487372,-248.887372,-195.59618,-141.312432,-86.485494,-31.395888,23.775978,78.90472,133.914118,188.740892,243.377208,297.786436,351.9653
OCOCCC,2910,90.122,C4H10O2,propoxymethanol,"InChI=1S/C4H10O2/c1-2-3-6-4-5/h5H,2-4H2,1H3",-433.9,-433.9,395.3,395.3,4,10,0,0,0,0,0,0,0,0,2,0,0,0,0,94.2436,-105.12,0.058,3.337,7.392,12.142,17.486,23.331,29.601,36.231,43.165,50.358,57.772,65.375,73.139,0.192,9.572,18.59,27.233,35.459,43.258,50.638,57.62,64.227,70.485,76.418,82.051,87.407,-289.010314,-288.034028,-238.130524,-186.44554,-133.717004,-80.395954,-26.792172,26.916024,80.59698,134.162354,187.55848,240.764148,293.759448,346.52313
NNCCOC,2911,90.126,C3H10N2O,(2-methoxyethyl)hydrazine,"InChI=1S/C3H10N2O/c1-6-3-2-5-4/h5H,2-4H2,1H3",-96.9,-96.9,384.8,384.8,3,10,0,0,0,0,0,0,0,2,1,0,0,0,0,92.2254,-24.056,0.057,3.269,7.22,11.855,17.088,22.832,29.013,35.563,42.428,49.561,56.921,64.476,72.198,0.19,9.38,18.166,26.599,34.654,42.318,49.593,56.491,63.032,69.237,75.127,80.725,86.053,75.940745,77.10275,136.49976,197.83291,260.294908,323.383336,386.758268,450.222424,513.63146,576.895704,639.956488,702.785662,765.36348,827.66883
OC(CN)CN,2913,90.126,C3H10N2O,"1,3-diaminopropan-2-ol","InChI=1S/C3H10N2O/c4-1-3(6)2-5/h3,6H,1-2,4-5H2",-186.6,-186.6,373.5,373.5,3,10,0,0,0,0,0,0,0,2,1,0,0,0,0,89.1295,-48.889,0.059,3.378,7.439,12.171,17.48,23.285,29.51,36.096,42.987,50.139,57.515,65.081,72.812,0.196,9.693,18.726,27.335,35.509,43.253,50.581,57.516,64.082,70.304,76.207,81.813,87.146,-10.391855,-9.206414,51.252044,113.52793,176.8499,240.730166,304.865168,369.053028,433.1749,497.134424,560.880456,624.389862,687.645404,750.63224
NNCC(C)O,2914,90.126,C3H10N2O,1-hydrazineylpropan-2-ol,"InChI=1S/C3H10N2O/c1-3(6)2-5-4/h3,5-6H,2,4H2,1H3",-150.7,-150.7,372.8,372.8,3,10,0,0,0,0,0,0,0,2,1,0,0,0,0,88.953,-38.689,0.059,3.348,7.377,12.08,17.367,23.154,29.367,35.943,42.827,49.975,57.347,64.911,72.64,0.195,9.605,18.567,27.124,35.264,42.984,50.297,57.222,63.782,70,75.899,81.504,86.836,25.716745,26.90484,87.45378,149.85108,213.318708,277.364696,341.677124,406.053696,470.36428,534.515024,598.4598,662.171294,725.623072,788.80698
N[C@@](CN)(CO)[H],2915,90.126,C3H10N2O,"2,3-diaminopropan-1-ol","InChI=1S/C3H10N2O/c4-1-3(5)2-6/h3,6H,1-2,4-5H2",-190.8,-190.8,355.9,355.9,3,10,0,0,0,0,0,0,0,2,1,0,0,0,0,84.331,-50.082,0.057,3.293,7.296,11.984,17.261,23.041,29.248,35.818,42.698,49.841,57.209,64.769,72.495,0.19,9.445,18.346,26.876,35.001,42.711,50.017,56.937,63.492,69.705,75.602,81.204,86.534,-9.347055,-8.12725,54.1514,118.32439,183.579412,249.421154,315.537696,381.719636,447.83308,513.799224,579.5594,645.078352,710.345112,775.34442
NNC(C)CO,2916,90.126,C3H10N2O,2-hydrazineylpropan-1-ol,"InChI=1S/C3H10N2O/c1-3(2-6)5-4/h3,5-6H,2,4H2,1H3",-147.1,-147.1,366.2,366.2,3,10,0,0,0,0,0,0,0,2,1,0,0,0,0,87.126,-37.706,0.058,3.34,7.368,12.073,17.364,23.155,29.372,35.952,42.841,49.993,57.369,64.937,72.67,0.194,9.583,18.542,27.103,35.248,42.974,50.292,57.222,63.786,70.007,75.91,81.518,86.852,31.283545,32.481914,93.697124,156.76571,220.902116,285.618972,350.594744,415.633406,480.6019,545.415152,610.019928,674.38348,738.489824,802.33206
NNCCCO,2917,90.126,C3H10N2O,3-hydrazineylpropan-1-ol,"InChI=1S/C3H10N2O/c4-5-2-1-3-6/h5-6H,1-4H2",-136.7,-136.7,376.6,376.6,3,10,0,0,0,0,0,0,0,2,1,0,0,0,0,89.9872,-34.822,0.057,3.283,7.258,11.917,17.169,22.927,29.118,35.675,42.545,49.68,57.041,64.596,72.318,0.19,9.419,18.258,26.735,34.82,42.503,49.789,56.695,63.24,69.447,75.338,80.936,86.263,38.584345,39.76275,99.973072,162.09947,225.33298,289.1762,353.296728,417.503972,481.6469,545.64838,609.440548,673.000688,736.310308,799.35373
SCC(C)=O,2918,90.14,C3H6OS,1-mercaptopropan-2-one,"InChI=1S/C3H6OS/c1-3(4)2-5/h5H,2H2,1H3",-201.1,-201.1,330.4,330.4,3,6,0,0,0,0,0,0,0,0,1,0,1,0,0,80.0558,-45.963,0.047,2.683,5.809,9.357,13.259,17.461,21.915,26.584,31.434,36.439,41.575,46.823,52.168,0.158,7.704,14.662,21.119,27.128,32.735,37.978,42.896,47.517,51.871,55.981,59.87,63.557,-137.480129,-137.053622,-114.865448,-90.97421,-66.150092,-40.770708,-15.05336,11.946514,43.92734,75.837754,107.643984,139.336646,170.9034,202.34585
CSCC=O,2919,90.14,C3H6OS,2-(methylthio)acetaldehyde,"InChI=1S/C3H6OS/c1-5-3-2-4/h2H,3H2,1H3",-153.5,-153.5,339.7,339.7,3,6,0,0,0,0,0,0,0,0,1,0,1,0,0,82.6399,-34.472,0.047,2.676,5.794,9.334,13.229,17.424,21.874,26.538,31.384,36.385,41.517,46.763,52.104,0.158,7.686,14.624,21.067,27.066,32.664,37.901,42.813,47.431,51.782,55.889,59.776,63.461,-92.651529,-92.243622,-70.984612,-48.00749,-24.095816,0.375304,25.189404,51.294808,82.382,113.394182,144.304688,175.104134,205.782688,236.33025
SC1COC1,2920,90.14,C3H6OS,oxetane-3-thiol,"InChI=1S/C3H6OS/c5-3-1-4-2-3/h3,5H,1-2H2",-79.39,-79.39,311.3,311.3,3,6,0,0,0,0,0,0,0,0,1,0,1,0,0,74.7765,-18.934,0.043,2.453,5.424,8.87,12.706,16.863,21.287,25.934,30.769,35.762,40.889,46.131,51.47,0.141,7.033,13.642,19.913,25.819,31.365,36.573,41.467,46.074,50.418,54.521,58.405,62.089,-10.078329,-9.609024,14.645064,40.80829,68.008896,95.827886,124.01828,153.507084,187.99356,222.412968,256.732372,290.942806,325.03402,358.99257
CC=CSO,2921,90.14,C3H6OS,prop-1-en-1-ylsulfanol,"InChI=1S/C3H6OS/c1-2-3-5-4/h2-4H,1H3",-107.4,-107.4,336.2,336.2,3,6,0,0,0,0,0,0,0,0,1,0,1,0,0,81.6724,-25.03,0.049,2.752,5.923,9.498,13.416,17.623,22.078,26.742,31.586,36.582,41.708,46.947,52.281,0.164,7.907,14.964,21.472,27.505,33.12,38.364,43.276,47.891,52.238,56.34,60.222,63.902,-45.508529,-45.092786,-23.536444,-0.32887,23.773964,48.42245,73.39636,99.655722,130.89938,162.073462,193.140852,224.10178,254.941816,285.65504
CCC=S=O,2922,90.14,C3H6OS,propylidene-lambda4-sulfanone,"InChI=1S/C3H6OS/c1-2-3-5-4/h3H,2H2,1H3",-85.68,-85.68,325.3,325.3,3,6,0,0,0,0,0,0,0,0,1,0,1,0,0,78.6597,-20.335,0.044,2.543,5.546,8.992,12.814,16.949,21.348,25.97,30.781,35.75,40.855,46.076,51.396,0.15,7.302,13.983,20.255,26.139,31.657,36.836,41.703,46.287,50.61,54.696,58.564,62.234,-20.540329,-20.10613,2.681496,27.31556,52.97112,79.253006,105.911312,133.882658,166.86756,199.793754,232.62914,265.359736,297.983652,330.4841
CSC(C)=O,2923,90.14,C3H6OS,S-methyl ethanethioate,InChI=1S/C3H6OS/c1-3(4)5-2/h1-2H3,-208.4,-208.4,348.3,348.3,3,6,0,0,0,0,0,0,0,0,1,0,1,0,0,85.0035,-48.022,0.049,2.741,5.907,9.481,13.401,17.614,22.075,26.748,31.6,36.605,41.741,46.989,52.332,0.163,7.872,14.919,21.425,27.461,33.083,38.335,43.256,47.879,52.234,56.344,60.232,63.918,-150.114329,-149.721532,-129.363904,-107.3517,-84.43922,-60.981506,-37.197532,-12.13772,17.90806,47.877158,77.737056,107.487984,137.118856,166.6179
OC1CSC1,2924,90.14,C3H6OS,thietan-3-ol,"InChI=1S/C3H6OS/c4-3-1-5-2-3/h3-4H,1-2H2",-155.5,-155.5,313.1,313.1,3,6,0,0,0,0,0,0,0,0,1,0,1,0,0,75.2965,-34.872,0.043,2.492,5.499,8.972,12.826,16.994,21.423,26.071,30.904,35.894,41.017,46.253,51.587,0.143,7.147,13.836,20.157,26.09,31.651,36.865,41.761,46.366,50.707,54.807,58.687,62.367,-86.724729,-86.261532,-62.212524,-36.29367,-9.366696,18.16654,46.059476,75.24706,109.4273,143.544652,177.564508,211.473722,245.263716,278.92857
C(C)(C)(C)(CF),2925,90.1414,C5H11F,"1-fluoro-2,2-dimethylpropane","InChI=1S/C5H11F/c1-5(2,3)4-6/h4H2,1-3H3",-352.3,-352.3,365.7,345.8905,5,11,0,0,0,0,1,0,0,0,0,0,0,0,0,86.4521,-75.729,0.06,3.515,7.785,12.788,18.421,24.589,31.212,38.223,45.563,53.182,61.041,69.105,77.343,0.203,10.083,19.58,28.683,37.353,45.582,53.379,60.762,67.755,74.384,80.673,86.648,92.331,-202.422688,-201.418762,-149.782476,-96.2574,-41.577424,13.791352,69.518512,125.404662,181.31948,237.16125,292.858616,348.394798,403.740104,458.87637
